"filename", "language", "TypeScript", "JSON", "YAML", "Markdown", "JSON with Comments", "Shell Script", "Skill", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/buyangnie/Documents/GitHub/ops-factory/test/playwright.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/buyangnie/Documents/GitHub/ops-factory/test/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/buyangnie/Documents/GitHub/ops-factory/test/vitest.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/README.md", "Markdown", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 42, 173
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/package-lock.json", "JSON", 0, 594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 595
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/src/client.ts", "TypeScript", 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 66, 501
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/src/index.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 36
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/src/types.ts", "TypeScript", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 181
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/test-simple.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 109
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/tests/client.test.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 156
"/Users/buyangnie/Documents/GitHub/ops-factory/typescript-sdk/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
